mesto,avtor,naslov,producent,leto,zalozba,album
339,Bonnie Raitt,I Can't Make You Love Me,"Don Was, Raitt",91,Capitol<br />20 weeks; No. 18," <a  href=""/music/music-album-reviews/luck-of-the-draw-250272/""  target=""_blank""  rel=""nofollow""  >Luck of the Draw"
338,Queen,We Will Rock You,Queen,77,Elektra<br />14 weeks; No. 52,"""/music/music-album-reviews/news-of-the-world-200112/""  target=""_blank""  rel=""nofollow""  >News of the World</a>&#xA0;"
337,"Earth, Wind and Fire",Way of the World,Maurice White,75,Columbia<br />16 weeks; No. 12,That&#x2019;s the Way of the World 
336,The Doors,The End,Paul Rothchild,67,Elektra<br />Non-single,"""/music/music-album-reviews/the-doors-114926/""  target=""_blank""  rel=""nofollow""  >The Doors"
335,Jerry Butler and The Impressions,For Your Precious Love,Calvin Carter,58,Falcon<br />12 weeks; No. 11, Greatest Hits
334,James Brown,Get Up (I Feel Like Being a) Sex Machine,Brown,70,King<br />9 weeks; No. 15,50th Anniversary Collection&#xA0;
333,The Young Rascals,Good Lovin',"Tom Dowd, Arif Mardin",66,Atlantic<br />14 weeks; No. 1, The Very Best of the Rascals
332,The Supremes,Baby Love,"Brian Holland, Dozier",64,Motown<br />13 weeks; No. 1,The Ultimate Collection&#xA0;
331,Patti Smith Group,Dancing Barefoot,Todd Rundgren,79,Arista<br />Did not chart,"""/music/music-album-reviews/wave-192108/""  target=""_blank""  rel=""nofollow""  >Wave"
330,Public Enemy,Fight the Power,"Sadler, Hank Shocklee",89,Def Jam<br />Did not chart,Fear of a Black Planet
329,Neil Young,Cortez the Killer,"Young, David Briggs",75,Reprise<br />Non-single,Zuma 
328,Led Zeppelin,Heartbreaker,Page,69,Atlantic<br />Non-single,"""/music/music-album-reviews/led-zeppelin-ii-182340/""  target=""_blank""  rel=""nofollow""  >Led Zeppelin II"
327,Franz Ferdinand,Take Me Out,Tore Johansson,04,Domino<br />19 weeks; No. 66,"""/music/music-album-reviews/franz-ferdinand-251439/""  target=""_blank""  rel=""nofollow""  >Franz Ferdinand"
326,Alice Cooper,School's Out,Bob Ezrin,72,Warner Bros.<br />13 weeks; No. 7,"""/music/music-album-reviews/schools-out-2-190259/""  target=""_blank""  rel=""nofollow""  >School&#x2019;s Out "
325,Jimmy Cliff,Many Rivers to Cross,Cliff,69,A&M<br />Did not chart,"Wonderful World, Beautiful People"
324,Pink Floyd,Wish You Were Here,Pink Floyd,75,Columbia<br />Non-single,"""/music/music-album-reviews/wish-you-were-here-3-96417/""  target=""_blank""  rel=""nofollow""  >Wish You Were Here "
323,Elvis Costello,Alison,Nick Lowe,77,Columbia<br />Did not chart,"""/music/music-album-reviews/my-aim-is-true-201865/""  target=""_blank""  rel=""nofollow""  >My Aim Is True"
322,The Animals,Don't Let Me Be Misunderstood,Mickie Most,65,MGM<br />10 weeks; No. 15,Retrospective 
321,Pink Floyd,Comfortably Numb,Bob Ezrin,79,Columbia<br />Did not chart,"""/music/music-album-reviews/the-wall-188348/""  target=""_blank""  rel=""nofollow""  >The Wall</a> "
320,Screamin' Jay Hawkins,I Put a Spell on You,Arnold Maxin,56,OKeh<br />Did not chart,Voodoo Jive 
319,Roy Orbison,In Dreams,Fred Foster,63,Monument<br />13 weeks; No. 7,For the Lonely: 18 Greatest Hits&#xA0;
318,The Everly Brothers,Wake Up Little Susie,Archie Bleyer,57,Cadence<br />26 weeks; No. 1,The Best of the Everly Brothers
